"bookmaker","n_games","brier_mean","logloss_mean"
"Bovada",82,0.205337911037836,0.599477579362303
"BetUS",82,0.205883579897202,0.599988677399119
"LowVig.ag",82,0.206177698710789,0.600138040356228
"DraftKings",82,0.206264037713348,0.601203736003691
"BetOnline.ag",82,0.206631229227365,0.601249502835512
"MyBookie.ag",82,0.207510301461737,0.603281500748573
"FanDuel",82,0.207667322366675,0.603358593779157
"Fanatics",82,0.208009073699728,0.604711731810126
"Caesars",82,0.208030334411199,0.604655273043223
"BetMGM",82,0.208082996531108,0.60452624861377
"BetRivers",82,0.208451087255189,0.604993270067367
